Name of Program,Place,University,When,Language,Duration,Credits,Fee,Registration deadline,Course leader,Target group,Course aim,Fee info,Scholarships,Credits info
Data Science and Machine Learning: The Fundamentals,"Coventry, United Kingdom",University of Warwick Summer School,14 July 2024 - 3 August 2024,English,3 weeks,4 EC,GBP 2350,31 May 2024,Dr Florin Ciucu Alex Dixon,"This course is open to students studying any discipline at University level provided they have basic knowledge of linear algebra and calculus. We welcome individuals from all backgrounds, including students who are currently studying another subject but who want to broaden their knowledge in another discipline. Students should also meet our standard entry requirements and must be aged 18 or over by the time the Summer School commences and have a good understanding of the English language.","To understand the foundational skills in data analytics, including preparing and working with data; abstracting and modelling an analytic question; and using tools from statistics, learning and mining to address the question.",GBP 2350: Student Rate (for any students in full-time education at any University or College worldwide) GBP 3150: Standard Rate,,4 EC 3-4 credits (US) 7.5 ECTS points (EU)
"Making Sense of Data: Handling, Processing, Visualising, Spatial Mapping, Estimating, and Analysing Data in R","Aarhus, Denmark",AU Summer University,22 July 2024 - 9 August 2024,English,3 weeks,5 EC,EUR 352,15 March 2024,Toke Emil Panduro,Master's level,,EUR 352: EU/EEA citizens EUR 1339: NON EU/EEA citizens,No scholarships available,
Deep Learning: Fundamentals and Applications,"St. Gallen, Switzerland",GSERM - Global School in Empirical Research Methods,10 June 2024 - 14 June 2024,English,1 week,4 EC,CHF 1100.00,30 April 2024,Damian Borth & Korbinian Riedhammer,Master | PhD | Postdoc | Professional,,CHF 1100: Master | PhD CHF 2000: Postdoc | Professional,,
Introduction to Speech and Machine Learning,"Joensuu, Finland",UEF Summer School 2024,12 August 2024 - 16 August 2024,English,1 week,3 EC,EUR 300,15 June 2024,Tomi Kinnunen (tomi.kinnunen@uef.fi),"Master, Doctoral","Learning aims: to learn basics about speech and machine learning, and have a gist on research done in the field of speech processing.",EUR 300: Course fee. The course fee for UEF partner university students is 250 e. EUR 200: The course fee for exchange students starting at UEF in autumn 2024.,Not available,3 EC ECTS
MegaData: Federated Machine Learning,"Tartu, Estonia",UniTartu Summer School,28 July 2024 - 10 August 2024,English,2 weeks,3 EC,EUR 800,30 April 2024,"Feras Awaysheh, University of Tartu",MSc/PhD,"On successfully completing this course, students should be able to: 1. Demonstrate knowledge of the emerging federated machine learning (FL) deployment architecture and requirements. 2. Understand the various capabilities of advanced FL solutions and develop the ability to choose adequate systems for different problems. 3. Apply state-of-the-art FL systems to build scalable solutions for various data privacy challenges in different application domains. 4. Apply qualitative and quantitative techniques in distributed machine intelligence through lectures and design projects using leading research trends to identify the strengths and weaknesses of the various systems. 5. Develop strategic thinking and soft skills for industry and business success using cutting-edge",EUR 800: Course fee EUR 227: Accommodation in the student dormitories for 13 nights.,Find out about the scholarships on our website.,3 EC ECTS: 3 (+2 for additional assignment)
Practical Machine Learning,"London, United Kingdom",Queen Mary University of London Summer School,21 July 2024 - 11 August 2024,English,3 weeks,7.5 EC,GBP 2415,24 May 2024,Dimitris Kalogiros,Undergraduate Students,"This is a practical course that provides you with an introduction to the concepts of machine learning and the application of algorithms to several types of available data samples. In order to achieve this, you will be introduced to the Python programming language and key concepts related to the TensorFlowTM programming toolkit. You will learn how to train machine-learning algorithms and evaluate their performance on image data and scientific data from the Large Hadron Collider. We will develop your programming skills so that you can explore the potential benefits of deep-learning algorithms.","GBP 2415: The Queen Mary Summer School costs: £2,415 per session. We are offering a 10% early bird discount for those who apply before 31 March 2024. From 31 March onwards we will offer a 10% discount to: • Students and staff from partner institutions • Alumni • Current Queen Mary students Accommodation On campus accommodation will cost approximately £964 per session. Additional costs and course excursions Please note that some courses have some additional fees not included in the tuition fee. These fees are for activities and field trips that may take place away from our campus. We will give further details of these costs in due course. Please note there is no deposit payment required for the Queen Mary Summer School.",There are no scholarships available for this course,"7.5 EC You will study one course per Queen Mary Summer School session. Each course is worth 15 Queen Mary credits. Usually, the 15 credits we award for each three-week Queen Mary Summer School session translate to 3–4 credits in the US system and 7.5 ECTS in the European system. Your home institution should confirm if they will grant credit for Summer School courses. Whilst we will do everything we can to support you throughout the Summer School application process, it's your responsibility to check with your home institution if you can transfer credit from the Summer School prior to arriving at Queen Mary."
IoT & AI + Croatian Language and Culture,"Zagreb and Šibenik, Croatia",Algebra International Summer School,1 July 2024 - 27 July 2024,English,4 weeks,10 EC,EUR 2350,31 May 2024,,Students enrolled in higher education above the age of 18.,,"EUR 2350: Apart from the selected main module, the tuition fee also includes: CULTURAL & SOCIAL PROGRAM quirky museums, historical sightseeing, field trips CROATIAN CUISINE: lunch during weekdays COMPANY VISITS AND GUEST LECTURERS Transportation to and from Šibenik",,
Text Mining,"St. Gallen, Switzerland",GSERM - Global School in Empirical Research Methods,10 June 2024 - 14 June 2024,English,1 week,4 EC,CHF 1100.00,30 April 2024,Edward Kwartler,Master | PhD | Postdoc | Professional,,CHF 1100: Master | PhD CHF 2000: Postdoc | Professional,,
Advanced Programming,"Barcelona, Spain",UAB Barcelona Summer School,15 July 2024 - 2 August 2024,English,3 weeks,6 EC,EUR 910,2 June 2024,Vicenç Soler Ruiz. Professor of the Advanced Programming subject since 2002 at UAB Universitat Autònoma de Barcelona/ Autonomous University of Barcelona (UAB),"It is oriented to students of any degree (maths, physics, engineering, chemistry, etc.; not necessarily computer science) who have already started programming and want to improve their knowledge and skills.","The main objective of the subject is the improvement of the students' programming skills and knowledge, and for that reason this course is practice oriented. The assessment is based on developing two games: one in C and the other in Java or Python (to be chosen by student). The development of games, as a basis for the practices of the subject, provides the obligation to use many different aspects of the programming languages and makes the subject more attractive. A second objective is to achieve a good level in Object-Oriented Programming (with Java and Python) and also how to structure and develop an application using OOP. The concepts taught in this part (class definition, inheritance, overloading, overriding, etc.) can be used as the basis for learning any other object-oriented language (e.g. C++). This second part also includes App development on smartphones (e.g. Android).",EUR 910: The course fee for international and national students (non-UAB students) is € 910 but those who register before May 15th will get 20% discount.,"No, but there is 20% discount on the tuition fee if prospective students register before May 15th.","6 EC All subjects are accredited with 6 ECTS (European Credit Transfer and Accumulation System) that your university might transfer to you own degree programme (depending on your home university’s regulations), especially if it has a mobility programme in place with the UAB."
Automatic Control & Electrical Systems: From the Theory to Innovative Applications,"Lille, France",International Academy,29 June 2024 - 13 July 2024,English,2 weeks,5 EC,EUR 900,15 March 2024,Any question? Please email us: aces@international-academy.fr,Admission Criteria: - Master & PhD students. - Excellent academic results and in-depth knowledge in electrical engineering & automation. - Advanced English.,,"EUR 900: Participation to the programme — Early Bird (students applying before February 28th). A Comfort Pack (accomodation, transportation in Lille, meals) can be add to your registration for 460€. EUR 1250: Participation to the programme — Standard Fee. A Comfort Pack (accomodation, transportation in Lille, meals) can be add to your registration for 460€.",SCHOLARSHIPS ➤ Full scholarships on academic criteria A limited number of full or partial scholarships will be offered to support exceptional applications. ATTENTION: only applications made by March 15th may be eligible for these scholarships.,
Cyber in Normandy - Global overview of Cybersecurity,"CAEN, France",ENSICAEN - Cyber in Normandy Summer School,24 June 2024 - 5 July 2024,English,2 weeks,4 EC,EUR 800,29 March 2024,Pr. Audun JØSANG Dr. Jorge BLASCO ALÍS Dr. Matthew SORELL Pr Pierangela SAMARATI Dr. Gencer ERDOGAN Mr. Per THORSHEIM Dr Adeline ROUX LANGLOIS Pr. Christophe ROSENBERGER,"If you are a master/PhD student, or a young researcher who wants to live an memorable experience in Cybersecurity in a great place of France, Cyber Normandy 2024 is for you!","As attendee, you will be able to attend lectures from top researchers in Cybersecurity. You will also be able to work on cybersecurity subjects given by French companies in group work. You will also enjoy the quality of life in Normandy through social events. 1 - Introduction to (lattice-based) cryptography - Dr. Adeline ROUX-LANGLOIS 2 - Human and Organizational Risk Modelling in Cybersecurity - Dr. Gencer ERDOGAN 3 - Introduction to mobile phone forensic science- Dr. Matthew SORELL 4 - Challenges and Opportunities in Mobile Security - Dr. Jorge BLASCO ALIS 5 - Passwords, pins & digital authentication - Past, Present and Future? - Mr. Per THORSHEIM 6 - Privacy in data publication and release - Pr. Pierangela SAMARATI 7 - Cyber Threat Intelligence - Pr. Audun Jøsang 8 - Foundations and Trends in Biometrics - Pr. Christophe ROSENBERGER","EUR 800: Fees are including the access to the conferences and practical challenges, breakfast and lunch for 2 weeks, dormitory room and social events.",,
Certificate in Data Science,"Madrid, Spain",Summer at IE,27 May 2024 - 30 June 2024,English,5 weeks,15 EC,EUR 5900,26 May 2024,"IVAN MARTIN – ACADEMIC DIRECTOR ""Step into the world of data science with confidence. Our course is your perfect launchpad into a career filled with opportunities and growth in the field of data science.""","For current undergraduate students or recent graduates delving into data science, seeking practical machine learning skills, and eager to apply data science across various industries, this program offers a tailored approach. Whether individuals are embarking on a career or exploring the implications of data science, the program caters to their needs.","1. Unlock Job Opportunities: Provide students with the skills demanded in today's job market, where data analysis is essential for companies to extract insights and make informed decisions. 2. Prestigious Learning Experience: Offer a valuable learning experience through IE University, a globally recognized institution, enhancing students' professional profiles. 3. Accelerate Skill Development: Serve as an investment in students' data science careers by equipping them with essential skills and boosting their capabilities in the field. 4. Build a Strong Foundation: Establish a solid understanding of data science principles, laying the groundwork for tackling complex challenges and applications in the dynamic field of data science. 5. Mentorship and Guidance: Provide students with insights and guidance from experienced data scientists, facilitating their transition from academia to industry and supporting their professional development journey.",EUR 5900: Lectures and courses,,
Python Porto,"Porto, Portugal","Universidade Católica Portuguesa, Porto",22 July 2024 - 26 July 2024,English,1 week,3 EC,EUR 450,17 May 2024,,"This Summer School targets postgraduate students (MSc and PhD) with an interest in finance, but it can be extended to final-year undergraduate students.","The workshop seeks to equip PhD and MSc students and undergraduate students (advanced level) with the fundamental skills to use Python in a research context. The course is intended for learners who have not yet worked with Python and covers both a general introduction as well as more advanced approaches on data retrieval and processing. After first reviewing the basics of Python, especially how to set up the development environment and how to implement simple tasks, we focus on tools commonly utilised by researchers (e.g., NumPy, Pandas and Matplotlib). The workshop is comprised of a combination of guided introductions and more independent in-depth exploration. Thus, students have the opportunity to apply the learned concepts to a relevant case study chosen for their scientific breadth and their coverage of different Python features. We place particular focus on the use of online resources such as the documentation of the utilised Python packages to equip students with the ability to independently handle even more complex issues that are beyond the scope of this workshop.ith the ability to independently handle even more complex issues that are beyond the scope of this workshop. Learning objectives Set up Python and manage virtual environments; Develop replicable data processing workflows and modular “chunks” of code that can be reused in other contexts/projects; Use online resources to solve issues that are not part of the workshop independently; Match data sets from different data sources and save the output (packages: NumPy and Pandas); Web scrapping; and Conduct text mining tasks (an NLP approach).",EUR 450: Accommodation is not included EUR 430: Partner Universities students: 430 Accommodation is not included,,3 EC The course is structured in 5 practical sessions where students will learn using a combination of teaching sessions and practical exercises. The focus will be on learning through experience in which participants will have a set of tasks to complete. The first two days (4 sessions) will be fully dedicated to learning the Python language in a generic financial-oriented research environment. And the last day (1 session) will apply Python to unstructured data using a Natural Language Processing problem.
Data Science and Big Data Analysis (Level 2),"London, United Kingdom",UCL Summer School,15 July 2024 - 2 August 2024,English,3 weeks,7.5 EC,GBP 2585,1 June 2024,"Dr Matina Rassias , Dr Niloufar Abourashchi, Dr Thomas Honnor","This is a level two module (equivalent to second year undergraduate). In addition to the standard UCL Summer School entry criteria, applicants will be expected to have successfully completed at least one undergraduate level module in statistics and experience of using statistical computer software.","Upon successful completion of this module, students will: describe and explain key concepts, skills and tools used in the field of data science to deal with big data problems. demonstrate how to work with different data sources and formats, and generate suitable R code to perform advanced data manipulation. apply suitable range of techniques to explore and visualise large and complex datasets taken from a range of contexts and research areas. construct statistical models for regression and classifications, including methods such as multivariate regression, KNN, LDA and decision tree analysis. select appropriate methods to validate, optimise and measure the performance of different statistical methods and be able to assess, evaluate and summarise the results.","GBP 2585: Students who study for 6 weeks (2 modules) benefit from a built-in tuition fee discount. GBP 0: Students have the option of living in UCL Accommodation, close to campus in vibrant central London.",,7.5 EC 7.5 ECTS / 4 US / 15 UCL
AI-Aided Systematic Reviewing,"Utrecht, Netherlands",Utrecht Summer School,26 August 2024 - 30 August 2024,English,1 week,1.5 EC,EUR 715,12 August 2024,Laura Hofstee,"Participants from various fields — including psychology, education, human development, public health, prevention science, sociology, marketing, business, biology, medicine, political science, and communication — will benefit from the course. It helps if you have a concrete plan for carrying out a systematic review to start working with your own data immediately.","After engaging in the course lectures and discussions, and completing the hands-on practice activities, participants will be able to carry out their AI-aided systematic review using active learning.",EUR 715: Course fee,,
"Digital Innovations for a Happier, Healthier Aging: A Transdisciplinary Training","Geneva, Switzerland",Geneva Summer Schools - University of Geneva,1 July 2024 - 5 July 2024,English,1 week,3 EC,CHF 100.00,15 April 2024,"Prof Katarzyna Wac, Ph.D.,Professor of Computer Science at the University of Geneva","advanced graduates, Ph.D. students, post-doc students, junior researchers, practitioners, care professionals, providers (e.g., start-up owners), and social scientists working in the domain of the ageing population, QoL, and HRQoL. We seek to cultivate a transdisciplinary approach. The course is, therefore, open to a broad range of disciplines and stakeholders (i.e., social sciences, health/life/medical sciences, computer science/engineering, and law) with interest in digital technologies and ageing.",,CHF 100: For every participants CHF 0: free for AGE-INT members,,3 EC Equivalence of ECTS
