Name of Program,Place,University,When,Language,Duration,Credits,Fee,Registration deadline,Course leader,Target group,Course aim,Fee info,Scholarships,Credits info
Intelligence artificielle et apprentissage de la machine: théorie et pratique,"Oxford, Royaume-Uni","Lady Margaret Hall, Université d'Oxford",24 juin 2024-12 juillet 2024,changements climatiques,3 semaines,7.5 CE,3 980 livres sterling,10 mai 2024,,"Ce cours serait adapté aux étudiants STEM dans les études de premier cycle ou de premier niveau de troisième cycle. Connaissance de base de calcul et d'algèbre linéaire est nécessaire, et une certaine expérience de codage est recommandée. Expérience préalable de l'intelligence artificielle, l'apprentissage automatique, ou le langage de programmation Python n'est pas nécessaire.","À la fin de ce cours, vous allez : - comprendre les concepts théoriques de l'intelligence artificielle et de l'apprentissage machine. - savoir comment l'intelligence artificielle de base et les outils d'apprentissage machine sont utilisés dans la pratique. - savoir mettre en œuvre des algorithmes de base et former de petits réseaux pour des problèmes pratiques. - être capable d'identifier et d'utiliser l'intelligence artificielle pertinente et les outils d'apprentissage machine dans la recherche. - savoir mettre en œuvre et déployer des algorithmes d'intelligence artificielle et d'apprentissage machine sur Google Cloud.","GBP 3980: Ce montant comprend: - Tous les frais de scolarité, y compris les conférences, séminaires et didacticiels. - Évaluation, transcription des performances académiques, et certificat. - Un programme co-curriculaire d'ateliers de compétences et de conférenciers invités. - Accès à la bibliothèque du Collège Lady Margaret Hall. - Logements de chambre tout au long de votre programme. - Déjeuner et dîner dans la salle à manger du Collège du lundi au vendredi. - Un programme social et culturel complet, comprenant deux excursions dans d'autres villes anglaises par session de programme de trois semaines. - Une photographie de classe imprimée de haute qualité. - Un banquet officiel de graduation.",,"7.5 Les programmes d'été EC LMH sont conçus pour être éligibles au crédit, et nous recommandons l'attribution de 7.5 ECTS / 4 US / 15 CATS pour ce cours."
Intelligence artificielle et gouvernance mondiale,"Bruxelles, Belgique",Institut de gouvernance mondiale,28 mai 2024 - 1er juin 2024,changements climatiques,1 semaine,,1 500 EUR,1er mai 2024,"Prof. Dr. Medlir Mema, Brigham Young University Idaho, États-Unis, Chef du programme AI & Global Governance à GGI Bruxelles, et hôte du Podcast ""IR à l'ère de l'IA""","Ce cours s'adresse aux professionnels de l'élaboration des politiques, des relations internationales, de la gestion de la technologie et à tous ceux qui souhaitent comprendre les implications de l'IA sur la gouvernance mondiale, y compris les responsables gouvernementaux, les diplomates, les conseillers en politiques, les entrepreneurs technologiques, les chercheurs et les étudiants dans les domaines pertinents. Il convient également à ceux qui sont désireux de comprendre comment l'IA peut être utilisée pour résoudre des problèmes complexes dans la gouvernance mondiale.","L'objectif premier de ce cours est de fournir aux participants les connaissances et les compétences nécessaires pour naviguer dans le paysage complexe de l'IA dans la gouvernance mondiale. Il met l'accent sur les défis et les possibilités que l'IA présente pour les cadres réglementaires nationaux et internationaux, la sécurité internationale, le droit et la diplomatie, ainsi que sur la nécessité de se prémunir contre les préjugés et de promouvoir l'inclusion, la diversité et l'équité.Lorsqu'elle continue d'évoluer, l'IA remodele la dynamique du pouvoir, la coopération et les conflits entre les nations et à l'intérieur de celles-ci.Cette transformation mène à une nouvelle ère où les technologies axées sur l'IA jouent un rôle central dans les processus décisionnels.","1500 EUR: AI&GG à Bruxelles – Le tarif comprend l'accès à toutes les sessions, le matériel d'apprentissage et un accès de 3 mois à la plateforme d'apprentissage numérique, le déjeuner, le café et les rafraîchissements tout au long de l'école d'été, ainsi que le dîner de bienvenue, la réception de remise des diplômes et les activités sociales à Bruxelles. 1200 EUR: Le tarif comprend l'accès à toutes les sessions, le matériel d'apprentissage et un accès de 3 mois à la plateforme d'apprentissage numérique.",,
Deep Learning: Fondements et applications,"St. Gallen, Suisse",GSERM - École mondiale des méthodes de recherche empirique,10 juin 2024-14 juin 2024,changements climatiques,1 semaine,4 CE,CHF 1100.00,30 avril 2024,Damian Borth & Korbinian Riedhammer,Doctorat postdoctoral professionnel,,CHF 1100: Doctorat CHF 2000: Postdoc.,,
7e cours avancé sur la science des données et l'apprentissage automatique - ACDL 2024,"Toscane, Italie",Centre interdisciplinaire d'études supérieures,10 juin 2024-14 juin 2024,changements climatiques,1 semaine,8 CE,580 EUR,23 mai 2024,"Directeurs Giuseppe Nicosie, Université de Catane, Italie Panos Pardalos, Université de Floride, États-Unis","Le cours offre un environnement stimulant aux doctorants, aux jeunes universitaires, aux chercheurs en début de carrière, aux postdoctorants et aux leaders de l'industrie. Les participants auront également la chance de présenter leurs résultats avec des discussions et d'interagir avec leurs collègues dans un environnement convivial et productif.","ACDL 2024 Les conférences seront données par des experts de renommée mondiale dans le domaine, tant du milieu universitaire que de l'industrie, et couvriront à la fois les aspects théoriques et pratiques de l'IA, Machine/Deep Learning, Generative AI, et Data Science. Points ECTS Le cours comprendra un total de 36-40 heures de conférences, selon le système académique, la réalisation finale sera équivalente à 8 points ECTS pour les étudiants doctorants (et certains étudiants maîtres fortement motivés) participant au cours; pendant le cours, les étudiants doctorants aborderont les travaux à domicile/projets.","EUR 580: Frais d'inscription anticipé (d'ici le 23 mai 2024): € 580 Les frais d'inscription couvrent: toutes les sessions de cours, présentations orales, didacticiels, PayPal/Service bancaire, TVA, toutes les activités scientifiques. EUR 630: Frais d'inscription tardifs (à partir du 24 mai 2024): € 630 Les frais d'inscription couvrent: toutes les sessions de cours, présentations orales, didacticiels, PayPal/Service bancaire, TVA, toutes les activités scientifiques.",Pas de bourses.,"8 doctorants d'EC, postdoctorants, professionnels de l'industrie, étudiants juniors, et seront des profils typiques des accompagnateurs d'ACDL. Le cours comprendra un total de 36-40 heures de cours, selon le système académique, la réalisation finale sera équivalente à 8 points ECTS pour les doctorants (et certains étudiants-maîtrise fortement motivés) participant au cours. À la fin du cours, un certificat officiel sera délivré indiquant les 8 points ECTS."
Intelligence artificielle et apprentissage automatique,"Birmingham, Royaume-Uni",École internationale d'été de l'Université de Birmingham City,15 juillet 2024 - 2 août 2024,changements climatiques,3 semaines,,2 300 livres sterling,31 mai 2024,,,"Ce cours offre une expérience d'apprentissage pratique intensive en intelligence artificielle (IA) et en apprentissage automatique, intégrant des bases théoriques avec des compétences pratiques. Le programme est conçu pour donner aux participants une compréhension approfondie des fondamentaux de la science des données, des techniques informatiques avancées et des dernières tendances en matière d'IA et d'apprentissage automatique.","GBP 2300: Ce qui est inclus dans votre tarif: Cours académique Hébergement pendant trois semaines Birmingham aéroport pick-up et drop-off Visites culturelles Programme d'événements sociaux International Summer School T-shirt Veuillez noter voyage au Royaume-Uni, les frais de visa et autres frais de voyage et de séjour personnels ne sont pas inclus, par exemple les repas.",aucune,
S'appuyer sur les hallucinations : la linguistique derrière les interactions homme-AI,"Barcelone, Espagne",École internationale d'été de Barcelone,22 juillet 2024 - 26 juillet 2024,changements climatiques,1 semaine,2 CE,150 EUR,17 mai 2024,Martina Wiltschko,"Étudiants de premier cycle (Sophomore, Junior et Senior)",,150 EUR: Frais d'inscription (non remboursable) 550 EUR: Frais d'enseignement (non remboursable),Les étudiants non membres de l'UPF provenant d'universités ayant conclu un partenariat d'échange international avec l'UPF seront exemptés du paiement des 150€ de frais d'inscription non remboursables.,
Science des données et intelligence artificielle (juillet),Londres (Royaume-Uni),École d'été mondiale du Collège Impérial,1er juillet 2024-12 juillet 2024,changements climatiques,2 semaines,,6 600 livres sterling,4 mai 2024,Institut de la science des données,16 - 17,"Vous aurez la chance de porter vos connaissances sur le sujet à un niveau supérieur grâce à un programme académique stimulant qui équilibre les conférences, les séminaires et un niveau élevé de travail pratique. Cela inclut la possibilité d'accéder à des conseils et des conseils professionnels autour de postuler pour des études universitaires au Royaume-Uni, en particulier à Imperial College London.","6 600 GBP : Le coût du programme résidentiel en 2024 couvrira :* - tous les frais de scolarité; - les matériaux de cours, tels que les matériaux de construction, les fournitures de laboratoire et l'équipement de protection; - les masterclasses; - l'utilisation des installations du campus, telles que les salles de sport, les salles de classe et les services de restauration.; - l'hébergement et le Wi-Fi sur place; - trois repas par jour; - les activités d'initiation et d'orientation; - les activités sociales, y compris les voyages à destination et en provenance d'activités; - le certificat de participation à l'achèvement de l'école d'été, délivré par Imperial; - les célébrations finales; - le service de transfert de salles de réunion et de réception à l'aéroport de Heathrow le premier et le dernier jour.",Non disponible.,
Technologies de langage computationnel pour les médiévalistes,Graz (Autriche),Technologies de langage computationnel pour les médiévalistes,8 juillet 2024-12 juillet 2024,changements climatiques,1 semaine,10 CE,,15 mars 2024,,Étudiants au doctorat et postdoctorants,,0 EUR: -,,
Les défis de l'intelligence artificielle,Paris (France),Université d'été de Sorbonne,8 juillet 2024-12 juillet 2024,Français,1 semaine,,EUR 425,18 juin 2024,Sorbonne Summer University Adresse électronique : lettres-ftlv-universite-ete@sorbonne-universite.fr,"Etudiants, touristes ou parisiens curieux! (Un bon niveau de français est requis : B1)","Découvrez les débats en cours dans divers domaines scientifiques, tout en plongeant dans la civilisation française et en étant enseigné par des professeurs de la célèbre Université de Sorbonne.",425 EUR: Inscription avant le 30 avril 500 EUR: Frais complets,Aucune.,Un certificat de cours sera délivré.
AI humain,"Amsterdam, Pays-Bas",VU École d'été d'Amsterdam,8 juillet 2024 - 19 juillet 2024,changements climatiques,2 semaines,3 CE,EUR 1310,1er mai 2024,Jan Treur,"Les étudiants ou les professionnels intéressés à en apprendre plus sur la modélisation et la simulation informatique des processus mentaux, sociaux et liés à la santé. Cela peut concerner les étudiants Ph.D., Master ou Bachelor ou tout autre type d'étudiants intéressés de toute discipline. Aucune programmation ou expérience de modélisation n'est nécessaire.","D'ici la fin du cours, les étudiants pourront : - identifier différents types de processus mentaux, sociaux et liés à la santé - comprendre comment le comportement individuel et social émerge des mécanismes connus des neurosciences cognitives, affectives et sociales, des sciences cognitives et sociales et des sciences de la santé - concevoir des modèles de réseau pour les processus adaptatifs mentaux, sociaux et liés à la santé - effectuer des simulations basées sur ces modèles en utilisant l'environnement logiciel de modélisation orienté vers le réseau fourni",EUR 1310: Frais de scolarité cours de deux semaines VU Étudiants / candidats au doctorat et employés de VU Amsterdam* ou d'un partenaire du réseau Aurora 735 € Les étudiants des universités partenaires de VU Amsterdam 995 € Les étudiants et les candidats au doctorat dans les universités non partenaires de VU Amsterdam 1100 € Les professionnels 1310 € Offre Early Bird Les candidatures reçues avant le 15 mars (14 mars CET 23:59) reçoivent 50 € de réduction Early Bird!,VU Amsterdam Summer School offre deux types de bourses: la Bourse d'Egalité d'Accès et la Bourse de Photographe. Plus d'informations sont disponibles sur le site Internet de VU Amsterdam Summer School.,3 EC 60 heures de contact
