Name of Program,Place,University,When,Language,Duration,Credits,Fee,Registration deadline,Course leader,Target group,Course aim,Fee info,Scholarships,Credits info
Contrôle automatique et systèmes électriques: de la théorie aux applications innovantes,Lille (France),Académie internationale,29 juin 2024-13 juillet 2024,anglais,2 semaines,5 CE,900 EUR,15 mars 2024,Des questions? Veuillez nous envoyer un courriel à aces@international-academy.fr,Critères d'admission : - Master & Doctorants. - Excellents résultats académiques et connaissances approfondies en génie électrique et automatisation. - Anglais avancé.,,"900 EUR: Participation au programme — Early Bird (étudiants postulant avant le 28 février). Un Comfort Pack (accomodation, transport à Lille, repas) peut être ajouté à votre inscription pour 460€. 1250 EUR: Participation au programme — Taxe standard. Un Comfort Pack (accomodation, transport à Lille, repas) peut être ajouté à votre inscription pour 460€.",ÉCOLARCHES - Bourses complètes sur critères académiques Un nombre limité de bourses complètes ou partielles seront offertes pour soutenir les demandes exceptionnelles. ATTENTION : seules les demandes présentées avant le 15 mars peuvent être admissibles à ces bourses.,
Analyse des données massives,Nysa (Pologne),UAS in NYSA International Summer Programme,1er juillet 2024-12 juillet 2024,anglais,2 semaines,4 CE,EUR 990,22 mai 2024,"Coordonnatrice administrative: Anna Opałka, MSc. international@pans.nysa.pl",Étudiants de tous les domaines d'études,"Points saillants du programme 1. Participez au programme international avec des étudiants venant du monde entier. 2. Participez à des cours intensifs, pleinement reconnus, liés à vos intérêts professionnels. 3. Obtenez des crédits supplémentaires. 4. Participez à des cours organisés sous diverses formes, comme des cours pratiques, des laboratoires, des conférences, etc. 5. universitaires professionnels et des praticiens spécialisés dans chaque domaine. 6. Voyagez facilement autour de la Pologne et le reste de l'Europe centrale-orientale. année. L'objectif du programme d'été UAS à Nysa concentre et encourage les étudiants à développer leurs compétences personnelles dans les domaines des affaires, de la gestion et de l'informatique, par conséquent, nous invitons des étudiants du monde entier à participer à notre programme d'été international à Nysa. Le programme vise à offrir des cours professionnels académiques et des activités commerciales et culturelles supplémentaires.","EUR 990: Les frais comprennent: hébergement, repas pendant le cours, matériel de cours, visite d'entreprise, activités interculturelles et autres. Les frais comprennent: hébergement, repas pendant le cours, matériel de cours, visite d'entreprise, activités interculturelles et autres DEADLINE DE DEMANDE: 22.05.2024r. FORMULAIRE D'APLICATION: https://docs.google.com/forms/d/e/1FAIpQLSes1xJSeiUHrWD6DyrQaFJNL1eHBQXrV9BQIYmJvHIKIDWQ0g/viewform DEADLINE DE PAIEMENT (HABILITATION DE LA GARANTIE): 31.05.2024","1. Les étudiants de l'UE peuvent demander le soutien Erasmus+ à l'université d'origine pour la bourse de mobilité courte Erasmus+ (79 EUR par jour plus les voyages) 2. En cas de groupes plus importants (min. 17 p. ) réductions disponibles, s'il vous plaît contacter : international@pans.nysa.pl","4 CE Pendant 2 semaines, les étudiants ont suivi 40 heures de cours sous diverses formes: conférences, exercices, ateliers, projets de groupe, visites d'entreprises partenaires et un programme culturel et intégré riche."
Extraction de texte,"St. Gallen, Suisse",GSERM - École mondiale des méthodes de recherche empirique,10 juin 2024-14 juin 2024,anglais,1 semaine,4 CE,CHF 1100.00,30 avril 2024,Edward Kwartler,Doctorat postdoctoral professionnel,,CHF 1100: Doctorat CHF 2000: Postdoc.,,
Conception et développement de jeux,"Utrecht, Pays-Bas",École d'été d'Utrecht,19 août 2024-23 août 2024,anglais,1 semaine,"1,5 CE",600 EUR,1er juillet 2024,Dr. Ing. Sander Bakkes,,Le but du cours est de vous fournir une expérience et une compréhension de divers aspects dans la conception et le développement de jeux. Vous obtiendrez une expérience pratique dans la conception et la programmation de jeux.,600 EUR: frais de cours 250 EUR: frais de logement,,
Introduction à la science des données,"Maastricht, Pays-Bas",École d'été de Maastricht,17 juin 2024 - 18 juin 2024,anglais,1 semaine,3 CE,899 EUR,17 mai 2024,Dr. Visara Urovi,"La connaissance avec les ensembles de données (p. ex., en Excel) et l'étudiant devrait être Tech-savvy",• Se familiariser avec le cycle de vie de la science des données. • Utiliser Python comme langage de programmation pour effectuer des tâches d'analyse des données. • Se familiariser avec le processus de manipulation des données et comment y parvenir en Python. • Comprendre les algorithmes d'apprentissage automatique de base et leur application. • Comprendre les outils d'interprétation et de visualisation des données. • Comprendre les principes responsables dans les projets de science des données.,EUR 899: Frais d'enseignement EUR 720: Frais d'enseignement pour les étudiants de l'Université de Maastricht et «Les femmes dans la science des données» participants sur preuve.,Aucune bourse n'est disponible pour ce cours.,
Introduction à la parole et à l'apprentissage automatique,"Joensuu, Finlande",École d'été de l'UEF 2024,12 août 2024 - 16 août 2024,anglais,1 semaine,3 CE,300 EUR,15 juin 2024,Tomi Kinnunen (tomi.kinnunen@uf.fi),"Maître, docteur","Le but de l'apprentissage est d'apprendre les bases de l'apprentissage de la parole et de la machine, et d'avoir un accent sur la recherche dans le domaine du traitement de la parole.",300 EUR: frais de cours. Le prix de cours pour les étudiants universitaires partenaires de l'UEF est de 250 e. 200 EUR: Le prix de cours pour les étudiants en échange à partir de l'UEF à l'automne 2024.,Non disponible,3 ECTS
Codage créatif,"Amsterdam, Pays-Bas",VU École d'été d'Amsterdam,8 juillet 2024 - 19 juillet 2024,anglais,2 semaines,3 CE,EUR 1310,1er mai 2024,M. Mauricio Verano Merino,,,EUR 1310: Frais de scolarité cours de deux semaines VU Étudiants / candidats au doctorat et employés de VU Amsterdam* ou d'un partenaire du réseau Aurora 735 € Les étudiants des universités partenaires de VU Amsterdam 995 € Les étudiants et les candidats au doctorat dans les universités non partenaires de VU Amsterdam 1100 € Les professionnels 1310 € Offre Early Bird Les candidatures reçues avant le 15 mars (14 mars CET 23:59) reçoivent 50 € de réduction Early Bird!,VU Amsterdam Summer School offre deux types de bourses: la Bourse d'Egalité d'Accès et la Bourse de Photographe. Plus d'informations sont disponibles sur le site Internet de VU Amsterdam Summer School.,
Python Porto,Porto (Portugal),"Universidade Católica Portuguesa, Porto",22 juillet 2024 - 26 juillet 2024,anglais,1 semaine,3 CE,450 EUR,17 mai 2024,,"Cette école d'été cible les étudiants de troisième cycle (MSc et doctorat) avec un intérêt pour la finance, mais elle peut être étendue aux étudiants de premier cycle de dernière année.","L'atelier vise à doter les étudiants en doctorat et en maîtrise et les étudiants de premier cycle (niveau avancé) des compétences fondamentales nécessaires pour utiliser Python dans un contexte de recherche. Le cours est destiné aux apprenants qui n'ont pas encore travaillé avec Python et couvre à la fois une introduction générale ainsi que des approches plus avancées en matière d'extraction et de traitement des données. Après avoir examiné les bases de Python, en particulier comment mettre en place l'environnement de développement et comment mettre en œuvre des tâches simples, nous nous concentrons sur des outils couramment utilisés par les chercheurs (p. ex. NumPy, Pandas et Matplotlib). L'atelier est composé d'une combinaison d'introductions guidées et d'une exploration approfondie plus indépendante.",450 EUR: L'hébergement n'est pas inclus 430 EUR: Universités partenaires étudiants: 430 L'hébergement n'est pas inclus,,3 EC Le cours est structuré en 5 séances pratiques où les étudiants apprendront à l'aide d'une combinaison de sessions d'enseignement et d'exercices pratiques. L'accent sera mis sur l'apprentissage par l'expérience dans laquelle les participants auront un ensemble de tâches à accomplir. Les deux premiers jours (4 séances) seront entièrement consacrés à l'apprentissage du langage Python dans un environnement de recherche générique axé sur les finances.
"L'IA generative pour le texte, l'audio et les images","St. Gallen, Suisse",GSERM - École mondiale des méthodes de recherche empirique,17 juin 2024-21 juin 2024,anglais,1 semaine,4 CE,CHF 1100.00,30 avril 2024,Korbinian Riedhammer. Damian Borth.,Doctorat postdoctoral professionnel,,CHF 1100: Doctorat CHF 2000: Postdoc.,,
Intelligence artificielle (AI) pour les jeux informatiques,"Joensuu, Finlande",École d'été de l'UEF 2024,12 août 2024 - 16 août 2024,anglais,1 semaine,3 CE,300 EUR,15 juin 2024,Ville Hautamäki (ville.hautamaki@uf.fi),"Maître, docteur","Apprenez que la formation d'un agent d'IA signifie que nous devons former un agent pour prendre des décisions dans une séquence. Apprenez comment formaliser ce problème et comment le résoudre. Apprenez les outils logiciels qui aident grandement à former un agent. Apprenez également les différences dans la formation d'un agent logiciel, comme la capacité de jouer à des jeux d'ordinateur, et d'un agent physique, comme un robot.",300 EUR: frais de cours. Le prix pour les étudiants universitaires partenaires de l'UEF est de 250 e. 200 EUR: Le prix de cours pour les étudiants en échange à partir de l'UEF à l'automne 2024.,Non disponible.,"3 ECTS, possibilité de gagner 5 ECTS avec un travail supplémentaire."
